"","songid","duration"
"1",83,"06:41"
"2",88,"05:53"
"3",65,"05:45"
"4",77,"05:27"
"5",32,"05:11"
"6",44,"04:52"
"7",16,"04:49"
"8",15,"04:44"
"9",51,"04:38"
"10",81,"04:38"
"11",68,"04:29"
"12",46,"04:28"
"13",70,"04:27"
"14",71,"04:24"
"15",57,"04:23"
"16",79,"04:21"
"17",73,"04:18"
"18",61,"04:17"
"19",9,"04:16"
"20",67,"04:12"
"21",69,"04:09"
"22",10,"04:02"
"23",75,"04:02"
"24",30,"04:01"
"25",82,"03:59"
"26",27,"03:58"
"27",85,"03:53"
"28",3,"03:52"
"29",49,"03:50"
"30",14,"03:48"
"31",54,"03:46"
"32",25,"03:43"
"33",89,"03:43"
"34",74,"03:42"
"35",59,"03:42"
"36",91,"03:38"
"37",31,"03:36"
"38",66,"03:35"
"39",76,"03:34"
"40",29,"03:32"
"41",12,"03:28"
"42",11,"03:27"
"43",48,"03:27"
"44",60,"03:26"
"45",7,"03:24"
"46",2,"03:21"
"47",78,"03:20"
"48",50,"03:18"
"49",24,"03:16"
"50",39,"03:13"
"51",55,"03:13"
"52",22,"03:11"
"53",87,"03:09"
"54",64,"03:09"
"55",47,"03:08"
"56",37,"03:08"
"57",86,"03:06"
"58",36,"03:05"
"59",58,"03:01"
"60",8,"03:01"
"61",5,"02:59"
"62",13,"02:58"
"63",40,"02:58"
"64",80,"02:57"
"65",17,"02:54"
"66",1,"02:53"
"67",33,"02:53"
"68",62,"02:53"
"69",35,"02:50"
"70",18,"02:50"
"71",84,"02:47"
"72",56,"02:45"
"73",19,"02:42"
"74",34,"02:39"
"75",21,"02:35"
"76",20,"02:34"
"77",45,"02:32"
"78",6,"02:30"
"79",41,"02:30"
"80",63,"02:29"
"81",23,"02:18"
"82",90,"02:17"
"83",4,"02:12"
"84",42,"02:12"
"85",43,"02:10"
"86",92,"02:06"
"87",28,"02:04"
"88",72,"02:01"
"89",26,"01:52"
"90",38,"01:47"
"91",52,"01:45"
"92",53,"01:32"
